0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
9,11,13,22.0,23.0,24.0,28.0,39.0,42.0,55.0,58.0,68.0,79.0,83.0,86.0,88.0,98.0,100.0,108.0,121.0,124.0,137.0,161.0,168.0,169.0,172.0,174.0,176.0,182.0,186.0,188.0,198.0,202.0,212.0,216.0,218.0,222.0,235.0,239.0,240.0,241.0,245.0,249.0,255.0,271.0,300.0,333.0,357.0,411.0,431.0,455.0,456.0,469.0,472.0,476.0,479.0,591.0,597.0,628.0,634.0,684.0,686.0,708.0,723.0,746.0,748.0,826.0,919.0,930.0,993.0,1016.0,1103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,5,7.0,11.0,38.0,40.0,50.0,53.0,54.0,62.0,69.0,73.0,82.0,86.0,92.0,95.0,96.0,99.0,100.0,102.0,117.0,125.0,127.0,128.0,132.0,135.0,144.0,145.0,153.0,157.0,159.0,180.0,181.0,195.0,202.0,204.0,210.0,225.0,227.0,230.0,231.0,234.0,237.0,265.0,274.0,282.0,286.0,288.0,316.0,322.0,323.0,381.0,387.0,404.0,419.0,420.0,431.0,448.0,449.0,465.0,468.0,472.0,476.0,483.0,499.0,508.0,538.0,540.0,542.0,544.0,554.0,559.0,566.0,568.0,571.0,576.0,586.0,629.0,631.0,655.0,663.0,690.0,692.0,693.0,715.0,722.0,723.0,735.0,736.0,756.0,780.0,781.0,790.0,845.0,934.0,942.0,975.0,977.0,1015.0,1028.0,1047.0,1049.0,1060.0,1168.0,1181.0,1313.0,1401.0,1459.0,1478.0,1479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12,20,22.0,24.0,25.0,31.0,47.0,50.0,56.0,57.0,70.0,73.0,79.0,86.0,89.0,95.0,97.0,98.0,102.0,108.0,116.0,118.0,128.0,129.0,133.0,135.0,137.0,143.0,157.0,173.0,175.0,176.0,182.0,183.0,194.0,195.0,197.0,198.0,201.0,202.0,204.0,209.0,216.0,218.0,222.0,223.0,231.0,233.0,234.0,235.0,238.0,245.0,250.0,257.0,267.0,269.0,272.0,273.0,275.0,277.0,282.0,286.0,293.0,300.0,301.0,307.0,326.0,423.0,432.0,435.0,443.0,448.0,471.0,475.0,480.0,515.0,574.0,588.0,596.0,625.0,628.0,629.0,652.0,678.0,687.0,692.0,699.0,705.0,716.0,736.0,742.0,748.0,864.0,1007.0,1014.0,1016.0,1217.0,1296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,292,313,340.0,359.0,538.0,750.0,754.0,873.0,879.0,984.0,990.0,1105.0,1316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,55,79,97.0,98.0,174.0,175.0,177.0,179.0,237.0,663.0,746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,26,47,56.0,97.0,127.0,134.0,180.0,188.0,195.0,197.0,203.0,204.0,238.0,264.0,286.0,300.0,357.0,474.0,497.0,507.0,527.0,530.0,748.0,924.0,1101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,12,23.0,29.0,32.0,42.0,47.0,64.0,67.0,83.0,98.0,99.0,120.0,127.0,131.0,132.0,135.0,147.0,159.0,195.0,196.0,200.0,207.0,208.0,226.0,235.0,403.0,423.0,425.0,436.0,541.0,544.0,545.0,551.0,552.0,563.0,578.0,588.0,597.0,614.0,628.0,631.0,636.0,658.0,684.0,710.0,725.0,742.0,747.0,762.0,769.0,781.0,979.0,1023.0,1036.0,1039.0,1044.0,1047.0,1095.0,1135.0,1209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,360,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,282,286,291.0,381.0,971.0,1009.0,1194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,161,181,182.0,418.0,484.0,487.0,493.0,633.0,1063.0,1299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,192,366,443.0,636.0,704.0,708.0,775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
