0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
7,13,38,56,66,69,77,79,88,96.0,98.0,127.0,143.0,148.0,159.0,161.0,164.0,173.0,181.0,185.0,191.0,195.0,202.0,204.0,205.0,209.0,210.0,211.0,216.0,218.0,233.0,234.0,237.0,240.0,326.0,357.0,392.0,419.0,443.0,474.0,485.0,504.0,511.0,554.0,628.0,632.0,692.0,717.0,732.0,769.0,792.0,864.0,930.0,1213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,48,56,57,58,69,82,97,98,99.0,117.0,174.0,177.0,191.0,193.0,202.0,205.0,208.0,212.0,249.0,257.0,269.0,276.0,286.0,313.0,357.0,375.0,381.0,418.0,423.0,482.0,492.0,495.0,499.0,515.0,568.0,644.0,654.0,806.0,923.0,958.0,1194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22,52,65,70,79,85,87,100,135.0,174.0,185.0,188.0,190.0,193.0,197.0,198.0,211.0,213.0,230.0,237.0,269.0,275.0,292.0,319.0,346.0,419.0,433.0,435.0,474.0,480.0,494.0,511.0,515.0,520.0,523.0,647.0,648.0,652.0,684.0,705.0,747.0,792.0,898.0,1119.0,1149.0,1464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15,16,28,69,83,93,127,129,137.0,173.0,194.0,196.0,208.0,221.0,223.0,225.0,268.0,275.0,286.0,317.0,387.0,435.0,511.0,531.0,582.0,632.0,655.0,660.0,713.0,778.0,813.0,1039.0,1281.0,1368.0,1466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,322,332,338,538,682,877,938,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,7,8,9,11,22,25,31,33.0,53.0,54.0,56.0,58.0,66.0,67.0,77.0,79.0,88.0,89.0,95.0,96.0,98.0,99.0,105.0,120.0,123.0,138.0,151.0,152.0,153.0,154.0,159.0,160.0,161.0,164.0,168.0,172.0,173.0,174.0,176.0,179.0,180.0,182.0,184.0,187.0,191.0,194.0,199.0,201.0,202.0,204.0,215.0,216.0,222.0,227.0,229.0,230.0,231.0,239.0,241.0,252.0,269.0,273.0,276.0,281.0,300.0,333.0,357.0,380.0,384.0,385.0,395.0,401.0,407.0,410.0,411.0,419.0,423.0,427.0,443.0,456.0,470.0,483.0,496.0,511.0,514.0,515.0,519.0,523.0,552.0,554.0,566.0,582.0,597.0,604.0,606.0,610.0,631.0,651.0,660.0,673.0,684.0,686.0,692.0,710.0,719.0,732.0,737.0,743.0,756.0,771.0,772.0,790.0,831.0,849.0,864.0,871.0,1012.0,1028.0,1035.0,1091.0,1112.0,1228.0
14,24,116,181,222,251,257,258,274,275.0,304.0,536.0,740.0,748.0,832.0,845.0,1022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,48,50,54,67,69,79,82,86,88.0,98.0,132.0,134.0,141.0,144.0,153.0,168.0,172.0,185.0,186.0,197.0,200.0,204.0,205.0,210.0,233.0,234.0,241.0,265.0,282.0,318.0,386.0,399.0,403.0,436.0,443.0,444.0,445.0,448.0,451.0,452.0,468.0,479.0,480.0,496.0,503.0,508.0,525.0,526.0,527.0,528.0,530.0,554.0,559.0,563.0,564.0,566.0,603.0,612.0,615.0,633.0,646.0,655.0,659.0,665.0,670.0,671.0,674.0,675.0,679.0,732.0,944.0,969.0,1231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,79,81,98,100,124,129,147,181,245.0,250.0,258.0,269.0,272.0,276.0,288.0,297.0,300.0,303.0,326.0,338.0,483.0,512.0,515.0,591.0,655.0,855.0,924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,23,98,129,165,166,178,179,258,276.0,285.0,286.0,293.0,298.0,302.0,319.0,321.0,333.0,492.0,511.0,534.0,538.0,632.0,847.0,872.0,873.0,1014.0,1142.0,1143.0,1160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,211,429,430,480,486,493,504,526,603.0,608.0,614.0,633.0,1116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
